iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
100,3.0,stationary,PI_adaptive,0.807666,0.020938,-0.007666,0.0,-9e-06,30.0,single_a6000,4,step,0.998494
100,3.0,stationary,Static_Tmax,0.82815,0.020936,-0.02815,0.0,0.0,30.0,single_a6000,4,step,N/A
101,3.03,stationary,PI_adaptive,0.801996,0.020936,-0.001996,0.0,-2e-06,30.0,single_a6000,4,step,0.998494
101,3.03,stationary,Static_Tmax,0.812879,0.020936,-0.012879,0.0,0.0,30.0,single_a6000,4,step,N/A
102,3.06,stationary,PI_adaptive,0.758991,0.020954,0.041009,0.0,5e-05,30.0,single_a6000,4,step,0.998494
102,3.06,stationary,Static_Tmax,0.799026,0.020936,0.000974,0.0,0.0,30.0,single_a6000,4,step,N/A
103,3.09,stationary,PI_adaptive,0.784559,0.020972,0.015441,0.0,1.9e-05,30.0,single_a6000,4,step,0.998494
103,3.09,stationary,Static_Tmax,0.775624,0.020936,0.024376,0.0,0.0,30.0,single_a6000,4,step,N/A
104,3.12,stationary,PI_adaptive,0.785285,0.02099,0.014715,0.0,1.8e-05,30.0,single_a6000,4,step,0.998494
104,3.12,stationary,Static_Tmax,0.793318,0.020936,0.006682,0.0,0.0,30.0,single_a6000,4,step,N/A
105,3.15,stationary,PI_adaptive,0.822568,0.020972,-0.022568,0.0,-2.7e-05,30.0,single_a6000,4,step,0.998494
105,3.15,stationary,Static_Tmax,0.773473,0.020936,0.026527,0.0,0.0,30.0,single_a6000,4,step,N/A
106,3.18,stationary,PI_adaptive,0.803461,0.020968,-0.003461,0.0,-4e-06,30.0,single_a6000,4,step,0.998494
106,3.18,stationary,Static_Tmax,0.790317,0.020936,0.009683,0.0,0.0,30.0,single_a6000,4,step,N/A
107,3.21,stationary,PI_adaptive,0.795974,0.020973,0.004026,0.0,5e-06,30.0,single_a6000,4,step,0.998494
107,3.21,stationary,Static_Tmax,0.820056,0.020936,-0.020056,0.0,0.0,30.0,single_a6000,4,step,N/A
108,3.24,stationary,PI_adaptive,0.813679,0.020957,-0.013679,0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
108,3.24,stationary,Static_Tmax,0.826749,0.020936,-0.026749,0.0,0.0,30.0,single_a6000,4,step,N/A
109,3.27,stationary,PI_adaptive,0.798534,0.020958,0.001466,0.0,2e-06,30.0,single_a6000,4,step,0.998494
109,3.27,stationary,Static_Tmax,0.786082,0.020936,0.013918,0.0,0.0,30.0,single_a6000,4,step,N/A
110,3.3,stationary,PI_adaptive,0.797293,0.020962,0.002707,0.0,3e-06,30.0,single_a6000,4,step,0.998494
