iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
75,2.25,sinusoidal,PI_adaptive,0.806973,0.020573,-0.006973,-1e-06,-8e-06,30.0,single_a6000,4,sinusoidal,0.998494
75,2.25,sinusoidal,Static_Tmax,0.815717,0.020936,-0.015717,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
76,2.28,sinusoidal,PI_adaptive,0.776424,0.02059,0.023576,-1e-06,2.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
76,2.28,sinusoidal,Static_Tmax,0.827155,0.020936,-0.027155,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
77,2.31,sinusoidal,PI_adaptive,0.810681,0.020576,-0.010681,-1e-06,-1.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
77,2.31,sinusoidal,Static_Tmax,0.87269,0.020936,-0.07269,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
78,2.34,sinusoidal,PI_adaptive,0.813788,0.020559,-0.013788,-1e-06,-1.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
78,2.34,sinusoidal,Static_Tmax,0.857435,0.020936,-0.057435,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
79,2.37,sinusoidal,PI_adaptive,0.800326,0.020558,-0.000326,-1e-06,-0.0,30.0,single_a6000,4,sinusoidal,0.998494
79,2.37,sinusoidal,Static_Tmax,0.814529,0.020936,-0.014529,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
80,2.4,sinusoidal,PI_adaptive,0.791408,0.020567,0.008592,-1e-06,1e-05,30.0,single_a6000,4,sinusoidal,0.998494
80,2.4,sinusoidal,Static_Tmax,0.824171,0.020936,-0.024171,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
81,2.43,sinusoidal,PI_adaptive,0.854519,0.020548,-0.054519,-1e-06,-6.6e-05,30.0,single_a6000,4,sinusoidal,0.998494
81,2.43,sinusoidal,Static_Tmax,0.822694,0.020936,-0.022694,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
82,2.46,sinusoidal,PI_adaptive,0.827736,0.020529,-0.027736,-1e-06,-3.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
82,2.46,sinusoidal,Static_Tmax,0.821508,0.020936,-0.021508,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
83,2.49,sinusoidal,PI_adaptive,0.828606,0.02051,-0.028606,-1e-06,-3.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
83,2.49,sinusoidal,Static_Tmax,0.84771,0.020936,-0.04771,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
84,2.52,sinusoidal,PI_adaptive,0.805842,0.020502,-0.005842,-1e-06,-7e-06,30.0,single_a6000,4,sinusoidal,0.998494
84,2.52,sinusoidal,Static_Tmax,0.839639,0.020936,-0.039639,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
85,2.55,sinusoidal,PI_adaptive,0.795738,0.020506,0.004262,-1e-06,5e-06,30.0,single_a6000,4,sinusoidal,0.998494
85,2.55,sinusoidal,Static_Tmax,0.849819,0.020936,-0.049819,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
86,2.58,sinusoidal,PI_adaptive,0.800555,0.020505,-0.000555,-1e-06,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
86,2.58,sinusoidal,Static_Tmax,0.816827,0.020936,-0.016827,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
87,2.61,sinusoidal,PI_adaptive,0.784458,0.020522,0.015542,-1e-06,1.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
87,2.61,sinusoidal,Static_Tmax,0.845232,0.020936,-0.045232,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
88,2.64,sinusoidal,PI_adaptive,0.843423,0.020503,-0.043423,-1e-06,-5.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
88,2.64,sinusoidal,Static_Tmax,0.84542,0.020936,-0.04542,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
89,2.67,sinusoidal,PI_adaptive,0.808469,0.020491,-0.008469,-1e-06,-1e-05,30.0,single_a6000,4,sinusoidal,0.998494
89,2.67,sinusoidal,Static_Tmax,0.848375,0.020936,-0.048375,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
90,2.7,sinusoidal,PI_adaptive,0.836567,0.020472,-0.036567,-1e-06,-4.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
90,2.7,sinusoidal,Static_Tmax,0.847484,0.020936,-0.047484,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
91,2.73,sinusoidal,PI_adaptive,0.801215,0.02047,-0.001215,-1e-06,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
91,2.73,sinusoidal,Static_Tmax,0.86566,0.020936,-0.06566,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
92,2.76,sinusoidal,PI_adaptive,0.818297,0.020451,-0.018297,-1e-06,-2.2e-05,30.0,single_a6000,4,sinusoidal,0.998494
92,2.76,sinusoidal,Static_Tmax,0.874685,0.020936,-0.074685,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
93,2.79,sinusoidal,PI_adaptive,0.812366,0.020434,-0.012366,-1e-06,-1.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
93,2.79,sinusoidal,Static_Tmax,0.819916,0.020936,-0.019916,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
94,2.82,sinusoidal,PI_adaptive,0.780556,0.020451,0.019444,-1e-06,2.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
94,2.82,sinusoidal,Static_Tmax,0.877859,0.020936,-0.077859,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
95,2.85,sinusoidal,PI_adaptive,0.844218,0.020432,-0.044218,-1e-06,-5.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
95,2.85,sinusoidal,Static_Tmax,0.841683,0.020936,-0.041683,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
96,2.88,sinusoidal,PI_adaptive,0.801054,0.02043,-0.001054,-1e-06,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
